"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 26 08:47:13 GMT 2025","Tue Aug 26 08:47:15 GMT 2025","1839","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:47:03 GMT 2025","Tue Aug 26 08:47:05 GMT 2025","1599","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:46:55 GMT 2025","Tue Aug 26 08:46:56 GMT 2025","1189","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:47:17 GMT 2025","Tue Aug 26 08:47:18 GMT 2025","1159","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:47:08 GMT 2025","Tue Aug 26 08:47:10 GMT 2025","1504","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 26 08:47:24 GMT 2025","Tue Aug 26 08:47:26 GMT 2025","2259","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:47:32 GMT 2025","Tue Aug 26 08:47:35 GMT 2025","3308","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:47:06 GMT 2025","Tue Aug 26 08:47:07 GMT 2025","1137","LMS system","Authencation","Authorization","","","Navigation from login page to registration page",""
"passed","Tue Aug 26 08:47:10 GMT 2025","Tue Aug 26 08:47:12 GMT 2025","1364","Registration","Authencation","TestRegistration","","","Registration with correct email, username and password",""
"passed","Tue Aug 26 08:47:21 GMT 2025","Tue Aug 26 08:47:23 GMT 2025","1525","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Aug 26 08:46:52 GMT 2025","Tue Aug 26 08:46:53 GMT 2025","1188","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:46:49 GMT 2025","Tue Aug 26 08:46:51 GMT 2025","2685","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:46:53 GMT 2025","Tue Aug 26 08:46:54 GMT 2025","1187","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:47:42 GMT 2025","Tue Aug 26 08:47:43 GMT 2025","1410","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 08:46:57 GMT 2025","Tue Aug 26 08:46:59 GMT 2025","1641","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
"passed","Tue Aug 26 08:47:28 GMT 2025","Tue Aug 26 08:47:31 GMT 2025","2691","LMS system","Courses","Courses","","","Create courses",""
"passed","Tue Aug 26 08:47:45 GMT 2025","Tue Aug 26 08:47:47 GMT 2025","1714","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Aug 26 08:46:45 GMT 2025","Tue Aug 26 08:46:47 GMT 2025","2105","LMS system","Authencation","Authorization","","","User login with correct email and password",""
"passed","Tue Aug 26 08:47:37 GMT 2025","Tue Aug 26 08:47:41 GMT 2025","3528","LMS system","Courses","Courses","","","Edit courses",""
"passed","Tue Aug 26 08:47:00 GMT 2025","Tue Aug 26 08:47:02 GMT 2025","1525","LMS system","Authencation","Authorization","","","User login with wrong email or password",""
