"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 19 12:12:27 MSK 2025","Tue Aug 19 12:12:30 MSK 2025","2314","tests.courses","test_courses","TestCourses","","","test_edit_course",""
"passed","Tue Aug 19 12:12:07 MSK 2025","Tue Aug 19 12:12:09 MSK 2025","2198","tests.authentication","test_registration","TestRegistration","","","test_successful_registration",""
"failed","Tue Aug 19 12:12:30 MSK 2025","Tue Aug 19 12:12:37 MSK 2025","6856","tests.dashboard","test_dashboard","TestDashboard","","","test_dashboard_displaying",""
"broken","Tue Aug 19 12:12:24 MSK 2025","Tue Aug 19 12:12:27 MSK 2025","2511","tests.courses","test_courses","TestCourses","","","test_create_course",""
"passed","Tue Aug 19 12:12:16 MSK 2025","Tue Aug 19 12:12:17 MSK 2025","1191","tests.authentication","test_wrong_email_or_password_authorization","","","","test_wrong_email_or_password_authorization[user.name@gmail.com-  ]",""
"passed","Tue Aug 19 12:12:02 MSK 2025","Tue Aug 19 12:12:04 MSK 2025","2040","tests.authentication","test_authorization","TestAuthorization","","","test_wrong_email_or_password_authorization[  -password]",""
"passed","Tue Aug 19 12:11:59 MSK 2025","Tue Aug 19 12:12:01 MSK 2025","1955","tests.authentication","test_authorization","TestAuthorization","","","test_wrong_email_or_password_authorization[user.name@gmail.com-  ]",""
"broken","Mon Aug 18 14:39:03 MSK 2025","Mon Aug 18 14:39:03 MSK 2025","1","tests.courses","test_empty_courses_list","","","","test_empty_courses_list",""
"passed","Tue Aug 19 12:11:53 MSK 2025","Tue Aug 19 12:11:56 MSK 2025","3255","tests.authentication","test_authorization","TestAuthorization","","","test_successful_authorization",""
"broken","Tue Aug 19 12:12:22 MSK 2025","Tue Aug 19 12:12:24 MSK 2025","1889","tests.courses","test_courses","TestCourses","","","test_empty_courses_list",""
"passed","Tue Aug 19 12:12:17 MSK 2025","Tue Aug 19 12:12:19 MSK 2025","1235","tests.authentication","test_wrong_email_or_password_authorization","","","","test_wrong_email_or_password_authorization[  -password]",""
"passed","Tue Aug 19 12:12:04 MSK 2025","Tue Aug 19 12:12:06 MSK 2025","2024","tests.authentication","test_authorization","TestAuthorization","","","test_navigate_from_authorization_to_registration",""
"passed","Tue Aug 19 12:12:13 MSK 2025","Tue Aug 19 12:12:15 MSK 2025","1335","tests.authentication","test_wrong_email_or_password_authorization","","","","test_wrong_email_or_password_authorization[user.name@gmail.com-password]",""
"passed","Tue Aug 19 12:11:57 MSK 2025","Tue Aug 19 12:11:59 MSK 2025","1899","tests.authentication","test_authorization","TestAuthorization","","","test_wrong_email_or_password_authorization[user.name@gmail.com-password]",""
